house_id,lat,long,hours_of_sunlight_per_year,sq_ft_available_for_solar_panels,Block,energy_type,total_gas_usage,total_usage,sq_ft_available_for_solar_panels_block_avg,hours_of_sunlight_per_year_block_avg,total_energy_usage,geo_cluster
b1eb5eb2,0.9407188895051242,0.801403502839861,1404.0,3207.0,812103-1,None,,,3863.3506493506493,1350.8856088560885,,3
a90ea0b3,0.9536183488482664,0.7941670626151165,1488.0,1180.0,811800-3,Meter,,159.84000000000003,1780.8557213930349,1428.331797235023,159.84000000000003,3
049bf03c,0.9536120215404047,0.7943707783022802,1504.0,1163.0,811800-3,Meter,,,1780.8557213930349,1428.331797235023,,3
b2dc9fbe,0.9533943422736968,0.7944388188546156,1383.0,846.0,812001-3,None,,,2143.042253521127,1406.6305732484077,,3
569aaf4b,0.9533268620322879,0.7945845981287505,1337.0,440.0,812001-3,Both,21377.52,445.56000000000006,2143.042253521127,1406.6305732484077,10911.54,3
ac2f7c77,0.9534446294639025,0.7943046322760381,1359.0,1590.0589400693414,812001-3,None,,,2143.042253521127,1406.6305732484077,,3
c9a15592,0.9878342632267341,0.8066753014355754,1205.0,1690.525965379494,811900-1,None,,,1966.486111111111,1319.4307359307359,,3
0d210476,0.9876196117921623,0.8069628002849925,1414.0,617.0,811900-1,None,,,1966.486111111111,1319.4307359307359,,3
ae254799,0.9878800252323714,0.8067203189848016,1205.0,1690.525965379494,811900-1,None,,,1966.486111111111,1319.4307359307359,,3
1ad80ffe,0.9878001553933764,0.8066681293009736,1205.0,1690.525965379494,811900-1,None,,,1966.486111111111,1319.4307359307359,,3
d483f739,0.9871830275498894,0.8062136595495701,1372.0,1674.0,811900-1,None,,,1966.486111111111,1319.4307359307359,,3
62c7b6ac,0.9877341990062192,0.8070434980761263,1186.0,1903.0,811900-1,None,,,1966.486111111111,1319.4307359307359,,3
7407e44b,0.9475105952592102,0.7420092068376078,1156.0,1593.5057471264367,812101-1,None,,,1580.1323763955343,1311.4172015404365,,2
ef79a7f1,0.9474657873188406,0.7421644046130069,1156.0,1593.5057471264367,812101-1,None,,,1580.1323763955343,1311.4172015404365,,2
5fa80aab,0.9470536973772532,0.7419276790635934,1130.0,1593.5057471264367,812101-1,None,,,1580.1323763955343,1311.4172015404365,,2
8c46fac9,0.9464807149288035,0.7416352273816074,1305.6,1593.5057471264367,812101-1,None,,,1580.1323763955343,1311.4172015404365,,2
5edb8c2b,0.9477694318415395,0.7422126608997246,1313.0,634.0,812101-1,Both,11194.56,435.36,1580.1323763955343,1311.4172015404365,5814.96,2
96461bc5,0.9472472136159418,0.7421022461131912,1058.0,1593.5057471264367,812101-1,None,,,1580.1323763955343,1311.4172015404365,,2
426c5f0b,0.9473669156799076,0.8096988929498963,1391.0,4827.0,811500-2,None,,,4277.3983739837395,1385.8503937007874,,3
0a4bda96,0.9504965346560539,0.8143005164631489,1314.0,1709.0,811400-1,Meter,,,3210.3473684210526,1402.5561224489795,,3
efd90c76,0.9500449106348867,0.7894184509396354,1279.0,1590.0589400693414,812001-4,None,,,1053.6301369863013,1396.015479876161,,3
399ac66c,0.9417711704929843,0.7880519202280709,1450.0,1550.0,812104-2,Both,32842.08,264.6,1255.7422360248447,1401.2662889518413,16553.34,0
1698aa12,0.9352591847498992,0.7720248156578862,1150.0,2483.786121673004,812101-2,None,,,2667.8008298755185,1348.395176252319,,0
7edb5808,0.9350971924177998,0.7715042720526526,1362.0,881.0,812101-2,None,,,2667.8008298755185,1348.395176252319,,0
81e0bb5d,0.9352130053407102,0.7717387873215955,1466.0,828.0,812101-2,None,,,2667.8008298755185,1348.395176252319,,0
4dc1f17c,0.9444994791399886,0.7804734639094306,1436.0,1092.0,812104-3,None,,,1207.3681818181817,1399.7384615384615,,0
72be14aa,0.9444768465916695,0.7806106276004812,1436.0,1092.0,812104-3,Both,38517.84000000001,187.68,1207.3681818181817,1399.7384615384615,19352.760000000006,0
7a94fe5b,0.9446488433581841,0.7800813330888872,1315.0,1057.0,812104-3,Meter,,415.92,1207.3681818181817,1399.7384615384615,415.92,0
17013f80,0.9428615279607016,0.7910243595371753,1363.0,1656.0,812104-1,Both,104817.6,,1865.6006944444443,1390.5314465408806,,0
6ae58574,0.9429654813222825,0.7914387916365939,1472.0,775.0,812104-1,None,,,1865.6006944444443,1390.5314465408806,,0
d4be7dee,0.9528459866350012,0.8055003704655661,1261.0,3334.230769230769,811700-2,None,,,2951.0235294117647,1386.1368421052632,,3
18f1daf5,0.9529068745504148,0.8055803014246976,1421.0,1392.0,811700-2,Both,25698.24,,2951.0235294117647,1386.1368421052632,,3
4ca0c4ec,0.9483399164941098,0.7909858194629749,1270.0,1590.0589400693414,812002-3,None,,,981.7692307692307,1362.1,,3
f21423f0,0.9484183287333892,0.7898258823139628,1295.0,916.0,812002-4,Both,38128.32000000001,299.16,1180.0374531835207,1367.9938271604938,19213.740000000005,3
a99e365d,0.948065987129258,0.7906336811866765,1287.0,634.0,812002-3,Both,11985.12,393.0,981.7692307692307,1362.1,6189.06,3
c8d2352d,0.9477249750501962,0.7905459104980253,1293.0,1163.0,812002-3,Both,24307.92,118.44,981.7692307692307,1362.1,12213.179999999998,3
6c40ece7,0.9480390612872256,0.790944221082313,1391.0,951.0,812002-3,Both,20077.92,265.68,981.7692307692307,1362.1,10171.8,3
6e369e62,0.9481895849597421,0.7906397075840488,1226.0,1590.0589400693414,812002-3,None,,,981.7692307692307,1362.1,,3
b0d910d9,0.9481065879068105,0.7907428239342664,1287.0,634.0,812002-3,Both,24433.2,1080.24,981.7692307692307,1362.1,12756.720000000001,3
44f1b9f3,0.9326134756286315,0.7677806711802617,1371.0,1357.0,812101-2,Both,18655.92,690.72,2667.8008298755185,1348.395176252319,9673.32,0
5c229c2c,0.9324946481244929,0.7674236973515747,1300.0,1304.0,812101-2,Meter,,144.24,2667.8008298755185,1348.395176252319,144.24,0
cdaaab25,0.9329483922907009,0.7672474071853941,1140.0,2483.786121673004,812101-2,None,,,2667.8008298755185,1348.395176252319,,0
20efba60,0.9330518156160181,0.7677076146444648,1310.0,1286.0,812101-2,Both,39690.72,650.76,2667.8008298755185,1348.395176252319,20170.74,0
41d10479,0.9327914684303416,0.7672499061555555,1298.0,1339.0,812101-2,None,,,2667.8008298755185,1348.395176252319,,0
bed617be,0.9327355496048639,0.7677691867433651,1470.0,1427.0,812101-2,Both,24618.24,388.92,2667.8008298755185,1348.395176252319,12503.58,0
37a5ae24,0.9328824359035401,0.767733127596216,1236.0,1392.0,812101-2,Both,26519.04,133.44,2667.8008298755185,1348.395176252319,13326.24,0
